scenalpha,scen,scenario,mag1,mag2,mag3,mag4,mag4a,mag5,mag5a,mag5b,mag6,mag6a,mag6b,mag6c,mag7,mag7a,mag7b,traj,ef1_3,ef1_4,ef4p,ef2_2,ef2_3,ef2_4,ef3_2,ef3_3,ef3_4,ef4_2,ef4_3,ef4_4,maska,maskb,maskc,siI,siI1,ramp,t1,t2,t3,t4,t4a,t5,t5a,t5b,t6,t6a,t6b,t6c,t7,t7a,t7b,ttraj,tproject,tpa,tschool,pS1,pS2,pS3,pS4,lambda,beta,hosp1,cc1,hosp2,cc2,hosp3,cc3,hosp4,cc4,kap,pCT,pi,om,pID,temp_on,dh1,dh2,dh3,dh4,dc1,dc2,dc3,dc4,dnh1,dnh2,dnh3,dnh4,hlos1,hlos2,hlos3,hlos4
1A (ref),1,1,0,0.497,0.7946,0.805,0.8,0.9,0.8462,0.9282,0.6199,0.6967,0.8683,0.361,0.3733,0.5872,0.8195,0.8195,0.8195,0.8195,0,0.8195,0.8195,0.8195,0.8195,0.8195,0.8195,0.8195,0.8195,0.8195,0.5,0.7,0.7,0.438,0.3,0,41,53,63,94,101,108,115,122,129,136,143,150,157,164,171,180,197,186,205,0.110023,0.35705,0.561205,0.774879,1.395,0.4793,0.01108,0.00486,0.03139,0.0114,0.04711,0.02153,0.05825,0.05656,0,0,0,0,0,0,0,0,0.0045,0.0923,0.0417,0.0392,0.1543,0.3956,0.000072,0.000129,0.001136,0.030285,3.6,4.6,6.8,9.7
1B,1,2,0,0.497,0.7946,0.805,0.8,0.9,0.8462,0.9282,0.6199,0.6967,0.8683,0.361,0.3733,0.5872,0.8195,0.8195,0.65,0.65,0,0.65,0.65,0.65,0.65,0.65,0.65,0.725,0.725,0.725,0.5,0.7,0.7,0.438,0.3,0,41,53,63,94,101,108,115,122,129,136,143,150,157,164,171,180,197,186,205,0.110023,0.35705,0.561205,0.774879,1.395,0.4793,0.01108,0.00486,0.03139,0.0114,0.04711,0.02153,0.05825,0.05656,0,0,0,0,0,0,0,0,0.0045,0.0923,0.0417,0.0392,0.1543,0.3956,0.000072,0.000129,0.001136,0.030285,3.6,4.6,6.8,9.7
1C,1,3,0,0.497,0.7946,0.805,0.8,0.9,0.8462,0.9282,0.6199,0.6967,0.8683,0.361,0.3733,0.5872,0.8195,0.8195,0.6,0.6,0,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.5,0.7,0.7,0.438,0.3,0,41,53,63,94,101,108,115,122,129,136,143,150,157,164,171,180,197,186,205,0.110023,0.35705,0.561205,0.774879,1.395,0.4793,0.01108,0.00486,0.03139,0.0114,0.04711,0.02153,0.05825,0.05656,0,0,0,0,0,0,0,0,0.0045,0.0923,0.0417,0.0392,0.1543,0.3956,0.000072,0.000129,0.001136,0.030285,3.6,4.6,6.8,9.7
1D,1,4,0,0.497,0.7946,0.805,0.8,0.9,0.8462,0.9282,0.6199,0.6967,0.8683,0.361,0.3733,0.5872,0.8195,0.8195,0.55,0.55,0,0.55,0.55,0.55,0.55,0.55,0.55,0.675,0.675,0.675,0.5,0.7,0.7,0.438,0.3,0,41,53,63,94,101,108,115,122,129,136,143,150,157,164,171,180,197,186,205,0.110023,0.35705,0.561205,0.774879,1.395,0.4793,0.01108,0.00486,0.03139,0.0114,0.04711,0.02153,0.05825,0.05656,0,0,0,0,0,0,0,0,0.0045,0.0923,0.0417,0.0392,0.1543,0.3956,0.000072,0.000129,0.001136,0.030285,3.6,4.6,6.8,9.7
1E,1,5,0,0.497,0.7946,0.805,0.8,0.9,0.8462,0.9282,0.6199,0.6967,0.8683,0.361,0.3733,0.5872,0.8195,0.8195,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.65,0.65,0.65,0.5,0.7,0.7,0.438,0.3,0,41,53,63,94,101,108,115,122,129,136,143,150,157,164,171,180,197,186,205,0.110023,0.35705,0.561205,0.774879,1.395,0.4793,0.01108,0.00486,0.03139,0.0114,0.04711,0.02153,0.05825,0.05656,0,0,0,0,0,0,0,0,0.0045,0.0923,0.0417,0.0392,0.1543,0.3956,0.000072,0.000129,0.001136,0.030285,3.6,4.6,6.8,9.7
2A (ref),2,6,0,0.497,0.7946,0.805,0.8,0.9,0.8462,0.9282,0.6199,0.6967,0.8683,0.361,0.3733,0.5872,0.8195,0.8195,0.8195,0.8195,0,0.8195,0.8195,0.8195,0.8195,0.8195,0.8195,0.8195,0.8195,0.8195,0.5,0.7,0.7,0.438,0.3,0,41,53,63,94,101,108,115,122,129,136,143,150,157,164,171,180,197,186,205,0.110023,0.35705,0.561205,0.774879,1.395,0.4793,0.01108,0.00486,0.03139,0.0114,0.04711,0.02153,0.05825,0.05656,0,0,0,0,0,0,0,0,0.0045,0.0923,0.0417,0.0392,0.1543,0.3956,0.000072,0.000129,0.001136,0.030285,3.6,4.6,6.8,9.7
2B,2,7,0,0.497,0.7946,0.805,0.8,0.9,0.8462,0.9282,0.6199,0.6967,0.8683,0.361,0.3733,0.5872,0.8195,0.61,0.61,0.61,0,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.5,0.7,0.7,0.438,0.3,0,41,53,63,94,101,108,115,122,129,136,143,150,157,164,171,180,197,186,205,0.110023,0.35705,0.561205,0.774879,1.395,0.4793,0.01108,0.00486,0.03139,0.0114,0.04711,0.02153,0.05825,0.05656,0,0,0,0,0,0,0,0,0.0045,0.0923,0.0417,0.0392,0.1543,0.3956,0.000072,0.000129,0.001136,0.030285,3.6,4.6,6.8,9.7
2C,2,8,0,0.497,0.7946,0.805,0.8,0.9,0.8462,0.9282,0.6199,0.6967,0.8683,0.361,0.3733,0.5872,0.8195,0.56,0.56,0.56,0,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.5,0.7,0.7,0.438,0.3,0,41,53,63,94,101,108,115,122,129,136,143,150,157,164,171,180,197,186,205,0.110023,0.35705,0.561205,0.774879,1.395,0.4793,0.01108,0.00486,0.03139,0.0114,0.04711,0.02153,0.05825,0.05656,0,0,0,0,0,0,0,0,0.0045,0.0923,0.0417,0.0392,0.1543,0.3956,0.000072,0.000129,0.001136,0.030285,3.6,4.6,6.8,9.7
2D,2,9,0,0.497,0.7946,0.805,0.8,0.9,0.8462,0.9282,0.6199,0.6967,0.8683,0.361,0.3733,0.5872,0.8195,0.66,0.66,0.66,0,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.5,0.7,0.7,0.438,0.3,0,41,53,63,94,101,108,115,122,129,136,143,150,157,164,171,180,197,186,205,0.110023,0.35705,0.561205,0.774879,1.395,0.4793,0.01108,0.00486,0.03139,0.0114,0.04711,0.02153,0.05825,0.05656,0,0,0,0,0,0,0,0,0.0045,0.0923,0.0417,0.0392,0.1543,0.3956,0.000072,0.000129,0.001136,0.030285,3.6,4.6,6.8,9.7
2E,2,10,0,0.497,0.7946,0.805,0.8,0.9,0.8462,0.9282,0.6199,0.6967,0.8683,0.361,0.3733,0.5872,0.8195,0.7695,0.7695,0.7695,0,0.7695,0.7695,0.7695,0.7695,0.7695,0.7695,0.7695,0.7695,0.7695,0.5,0.7,0.7,0.438,0.3,0,41,53,63,94,101,108,115,122,129,136,143,150,157,164,171,180,197,186,205,0.110023,0.35705,0.561205,0.774879,1.395,0.4793,0.01108,0.00486,0.03139,0.0114,0.04711,0.02153,0.05825,0.05656,0,0,0,0,0,0,0,0,0.0045,0.0923,0.0417,0.0392,0.1543,0.3956,0.000072,0.000129,0.001136,0.030285,3.6,4.6,6.8,9.7
2F,2,11,0,0.497,0.7946,0.805,0.8,0.9,0.8462,0.9282,0.6199,0.6967,0.8683,0.361,0.3733,0.5872,0.8195,0.8695,0.8695,0.8695,0,0.8695,0.8695,0.8695,0.8695,0.8695,0.8695,0.8695,0.8695,0.8695,0.5,0.7,0.7,0.438,0.3,0,41,53,63,94,101,108,115,122,129,136,143,150,157,164,171,180,197,186,205,0.110023,0.35705,0.561205,0.774879,1.395,0.4793,0.01108,0.00486,0.03139,0.0114,0.04711,0.02153,0.05825,0.05656,0,0,0,0,0,0,0,0,0.0045,0.0923,0.0417,0.0392,0.1543,0.3956,0.000072,0.000129,0.001136,0.030285,3.6,4.6,6.8,9.7
Prev (early safe),3,12,0,0.497,0.7946,0.805,0.8,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.5,0.7,0.7,0.438,0.3,0,41,53,63,94,101,108,115,122,129,136,143,150,157,164,171,180,197,186,205,0.110023,0.35705,0.561205,0.774879,1.395,0.4793,0.01108,0.00486,0.03139,0.0114,0.04711,0.02153,0.05825,0.05656,0,0,0,0,0,0,0,0,0.0045,0.0923,0.0417,0.0392,0.1543,0.3956,0.000072,0.000129,0.001136,0.030285,3.6,4.6,6.8,9.7
